#deck:IELTSWords
#notetype:Cloze
#separator:|
#columns:Answer|Example|OriginalExample|TranslationOfExample|Definition|ChineseDefinition|Word|PartOfSpeech|Synonyms|Antonyms

minimise|You can {{c1::minimise}} the browser window by clicking the dash icon.|You can minimise the browser window by clicking the dash icon.|你可以通过点击短横图标来最小化浏览器窗口。|To make (a window, application, etc.) temporarily disappear from view on a computer screen|使（窗口、应用程序等）在计算机屏幕上暂时从视图中消失|minimise|verb|collapse, shrink, hide|maximise, expand, restore
imaginative|The architect came up with an {{c1::imaginative}} design for the new museum.|The architect came up with an imaginative design for the new museum.|建筑师为新博物馆想出了一个富有想象力的设计。|Having or showing creativity or inventiveness|具有或表现出创造力或创造性|imaginative|adjective|creative, inventive, innovative, original, inspired|unimaginative, uncreative, conventional, derivative
imaginative|The novel is an {{c1::imaginative}} retelling of historical events.|The novel is an imaginative retelling of historical events.|这部小说是对历史事件的富有想象力的重述。|Relating to or characterized by imagination rather than fact|与想象而非事实相关或以想象为特征|imaginative|adjective|fanciful, visionary, fantastical, whimsical, dreamy|factual, realistic, literal, prosaic
profit|The company reported a {{c1::profit}} of $2 million last quarter.|The company reported a profit of $2 million last quarter.|公司报告上个季度盈利200万美元。|A financial gain, especially the difference between the amount earned and the amount spent in buying, operating, or producing something|经济收益，尤指所赚金额与购买、经营或生产某物所花费金额之间的差额|profit|noun|gain, return, yield, earnings, proceeds|loss, deficit, debt
profit|There's no {{c1::profit}} in arguing about it any further.|There's no profit in arguing about it any further.|进一步争论这个问题没有任何好处。|Advantage or benefit gained from something|从某事物中获得的优势或好处|profit|noun|benefit, advantage, value, good, use|disadvantage, detriment, loss
profited|He {{c1::profited}} from the advice of his experienced colleagues.|He profited from the advice of his experienced colleagues.|他从有经验的同事的建议中获益。|To gain an advantage or benefit from something|从某事物中获得优势或好处|profit|verb|benefit, gain, advance, improve, prosper|lose, suffer, decline
decrepit|The {{c1::decrepit}} old building was finally scheduled for demolition.|The decrepit old building was finally scheduled for demolition.|那座破旧的老建筑终于被列入拆除计划。|Worn out or ruined because of age or neglect|因年久或疏于照料而破旧或毁坏|decrepit|adjective|dilapidated, run-down, ramshackle, crumbling, deteriorated|new, pristine, sound, sturdy, well-maintained
decrepit|The {{c1::decrepit}} old man needed help climbing the stairs.|The decrepit old man needed help climbing the stairs.|那位年迈体弱的老人需要帮助才能爬楼梯。|(of a person) elderly and infirm|（指人）年老体弱的|decrepit|adjective|feeble, frail, infirm, weak, debilitated|robust, vigorous, strong, healthy
ignorant|He was {{c1::ignorant}} of basic scientific principles.|He was ignorant of basic scientific principles.|他对基本的科学原理一无所知。|Lacking knowledge or awareness in general; uneducated or unsophisticated|普遍缺乏知识或意识；未受教育或不成熟|ignorant|adjective|uninformed, uneducated, unenlightened, unschooled, untutored|knowledgeable, educated, informed, enlightened
ignorant|She was completely {{c1::ignorant}} of the danger she was in.|She was completely ignorant of the danger she was in.|她完全不知道自己处于危险之中。|Lacking knowledge, information, or awareness about a particular thing|对特定事物缺乏知识、信息或意识|ignorant|adjective|unaware, oblivious, uninformed, unfamiliar, clueless|aware, conscious, informed, familiar
ignorant|It was {{c1::ignorant}} of him to talk loudly on his phone in the theater.|It was ignorant of him to talk loudly on his phone in the theater.|他在剧院里大声打电话是很无礼的。|Discourteous or rude; showing lack of consideration for others|无礼或粗鲁；表现出对他人缺乏考虑|ignorant|adjective|rude, impolite, discourteous, ill-mannered, uncivil|polite, courteous, considerate, respectful
leopard|The {{c1::leopard}} stalked its prey through the tall grass.|The leopard stalked its prey through the tall grass.|豹子通过高草潜行追踪它的猎物。|A large, carnivorous, spotted wild cat (Panthera pardus) native to Africa and Asia|一种大型、食肉、有斑点的野生猫科动物（豹属），原产于非洲和亚洲|leopard|noun|panther, big cat|
leopard|She wore a scarf with a {{c1::leopard}} print design.|She wore a scarf with a leopard print design.|她戴着一条豹纹图案的围巾。|A spotted pattern resembling that of a leopard|类似豹子的斑点图案|leopard|noun|leopard print, leopard pattern, leopard spots|
mastery|Her {{c1::mastery}} of the piano was evident from the first few notes.|Her mastery of the piano was evident from the first few notes.|从最初的几个音符就能看出她对钢琴的精通。|Comprehensive knowledge or skill in a particular subject or activity|在特定学科或活动中的全面知识或技能|mastery|noun|expertise, proficiency, skill, excellence, command|incompetence, ignorance, ineptitude
mastery|The team's {{c1::mastery}} over their opponents was clear throughout the season.|The team's mastery over their opponents was clear throughout the season.|这支队伍在整个赛季对对手的掌控是显而易见的。|Control or superiority over someone or something|对某人或某事物的控制或优势|mastery|noun|dominance, control, command, authority, supremacy|submission, subordination, subjection
forecast|The weather {{c1::forecast}} predicts rain for tomorrow.|The weather forecast predicts rain for tomorrow.|天气预报预测明天会下雨。|A prediction or estimate of future events, especially coming weather or financial trends|对未来事件的预测或估计，尤其是即将到来的天气或财务趋势|forecast|noun|prediction, projection, prognosis, outlook, estimate|
forecast|Analysts {{c1::forecast}} a rise in oil prices next month.|Analysts forecast a rise in oil prices next month.|分析师预测下个月油价将上涨。|To predict or estimate (a future event or trend)|预测或估计（未来事件或趋势）|forecast|verb|predict, project, anticipate, foresee, prognosticate|
precision|The experiment was conducted with great {{c1::precision}}.|The experiment was conducted with great precision.|这个实验是以极高的精确度进行的。|The quality, condition, or fact of being exact and accurate|精确和准确的品质、状态或事实|precision|noun|exactness, accuracy, correctness, exactitude, meticulousness|imprecision, inaccuracy, vagueness, inexactness
precision|The new measuring instrument offers greater {{c1::precision}} than the old one.|The new measuring instrument offers greater precision than the old one.|新的测量仪器比旧的提供更高的精度。|The degree to which repeated measurements under unchanged conditions show the same results|在相同条件下重复测量显示相同结果的程度|precision|noun|exactness, fineness, refinement, sharpness, rigor|roughness, coarseness, imprecision
precision|The calculation was carried out to a {{c1::precision}} of six decimal places.|The calculation was carried out to a precision of six decimal places.|计算精确到小数点后六位。|Refinement in a measurement, calculation, or specification, especially as represented by the number of digits given|测量、计算或规格中的精细度，尤其是由给定的数字位数表示|precision|noun|exactitude, accuracy, definiteness, specificity, detail|approximation, estimation, roughness
